python	Programming Python	2010	Lutz, Mark	STF	
snail	SSH, The Secure Shell	2005	Barrett, Daniel	STF
alpaca	Intermediate Perl	2012	Schwartz, RandalSTF
amongu	MySQL High Availability	2014	Bell, Charles	STF
horse	Linux in a Nutshell	2009	Siever, Ellen	STF
donkey	Cisco IOS in a Nutshell	2005	Boney, James	STF
crab	Practical Statistics	2020	Gedek, Peter	STF
error	Writing Word Macros	1999	Roman, Steven	STF
parrot	Learning Sicromoft	2023	Andersson, JonahSET
opossum	Introducing GitHub	2014	Bell, Peter	JFR
frog    Learning SQL            2020    Beaulieu, Alan  MJA
